nr,plaus,image,question_type,naming_question,confidence_question,trial_list_num
04,implaus,04_implaus_grandmother_rescuse_fireman.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
24,implaus,24_implaus_child_pulls_father.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
40,implaus,40_implaus_lady_opens_door_for_chauffeur.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
11,implaus,11_implaus_guide_chases_lion.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
32,implaus,32_implaus_patient_visits_relative.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
15,implaus,15_implaus_snorkler_bites_shark.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
05,implaus,05_implaus_patient_treating_dentist.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
03,implaus,03_implaus_patient_uses_stethoscope_on_doctor.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
37,implaus,37_implaus_woman_proposing_to_man.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
28,implaus,28_implaus_child_laces_shoes_of_father.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
39,implaus,39_implaus_grandma_saves_lifeguard.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
27,implaus,27_implaus_athlete_applauds_the_lady.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
20,implaus,20_implaus_lady_cooks_for_chef.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
18,implaus,18_implaus_customer_serving_waiter.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
31,implaus,31_implaus_patient_pushes_visitor.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
25,implaus,25_implaus_girl_gives_present_to_santa.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
02,implaus,02_implaus_child_scolding_babysitter.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
21,implaus,21_implaus_grandpa_dances_for_ballerina.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
36,implaus,36_implaus_child_licking_dog.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
41,implaus,41_implaus_rabbit_chases_fox.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
17,plaus,17_plaus_vampir_bites_woman.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
35,plaus,35_plaus_bouncer_rejects_girl.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
38,plaus,38_plaus_tailor_measuring_princess.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
08,plaus,08_plaus_artist_painting_business_man.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
06,plaus,06_plaus_ghost_frightens_girl.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
07,plaus,07_plaus_mother_feeding_baby.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
19,plaus,19_plaus_man_gives_to_beggar.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
10,plaus,10_plaus_jester_entertains_king.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
14,plaus,14_plaus_priest_blesses_bride.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
13,plaus,13_plaus_pirate_kidnaping_princess.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
34,plaus,34_plaus_dog_leading_blind_person.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
26,plaus,26_plaus_peasant_bows_to_queen.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
22,plaus,22_plaus_journalist_interviews_sports_star.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
16,plaus,16_plaus_professor_lectures_to_a_student.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
01,plaus,01_plaus_cop_arrests_criminal.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
23,plaus,23_plaus_judge_sentences_criminal.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
09,plaus,09_plaus_groom_carries_bride.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
12,plaus,12_plaus_photographer_photographes_model.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
30,plaus,30_plaus_cat_chases_mouse.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
33,plaus,33_plaus_boss_orders_worker.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
29,plaus,29_plaus_thief_steals_from_grandma.png,,Please describe what is happening in this image.,How well does this description fit this image?,4
