workerid_director,condition,language,implicit_term,order,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,clue,question_type
jubilantMeerkat7_1635624995,english_term,chinese,snacks,1_1,花生,爆米花,萝卜,牛排,三文鱼,蛇,钢笔,沟通,细雨,菜制品,
jubilantMeerkat7_1635624995,chinese_term,chinese,农产品,1_1,小麦,牛奶,牛肉,饼干,冰淇淋,蛇,铅笔,针织,雨,牛相关,
jubilantMeerkat7_1635624995,chinese_term,chinese,电器,1_1,电脑,空调,台灯,椅子,枕头,鸡,树,果汁,花园,电器,
jubilantMeerkat7_1635624995,english_term,chinese,skills,1_1,烹饪,电脑编程,团队合作,吃,步行,薯片,红酒,星星,填充玩具动物,烦躁不安的工作,
jubilantMeerkat7_1635624995,english_term,chinese,pests,1_1,蚂蚁,老鼠,浣熊,长颈鹿,鸭子,天空,椅子,勺子,海洋,动物,
jubilantMeerkat7_1635624995,english_term,chinese,skills,1_1,沟通,唱歌,打字,喝,去上学,饼干,水,行星,棒球,喉咙相关,
jubilantMeerkat7_1635624995,chinese_term,chinese,生物,1_1,植物,真菌,人类,石头,山,电脑编程,摩托车,发夹,麦克风,三界相关（生物三界,
jubilantMeerkat7_1635624995,chinese_term,chinese,电器,1_1,手机,微波炉,电视,沙发,床,盐,乌云,红酒,草,电器,
jubilantMeerkat7_1635624995,english_term,chinese,snacks,1_1,薯片,饼干,苹果片,意大利面,沙拉,熊,纸,团队合作,雾,零食,
jubilantMeerkat7_1635624995,english_term,chinese,crafts,1_1,木工,针织,绘画,芭蕾舞,诗歌,船,草,月亮,雨,兴趣爱好,
jubilantMeerkat7_1635624995,chinese_term,chinese,生物,1_1,动物,昆虫,病毒,矿物质,河流,棒球,船,椅子,收入,生物学,
jubilantMeerkat7_1635624995,english_term,chinese,crimes,1_1,谋杀,抢劫,擅自闯入,说谎,迟到,船,枕头,爆米花,蛾子,犯罪,
jubilantMeerkat7_1635624995,chinese_term,chinese,风景,1_1,高山,沙漠,星空,岩石,树,酸奶,火炉,迷幻药,卡车,旅游地点,
jubilantMeerkat7_1635624995,english_term,chinese,crafts,1_1,雕塑,缝纫,陶瓷,音乐,文学,公共汽车,种子,太阳,雪,手工制品,
jubilantMeerkat7_1635624995,chinese_term,chinese,化妆品,1_1,口红,乳液,腮红,洗发水,卫生棉条,萝卜,树,椅子,古城,化妆品,
jubilantMeerkat7_1635624995,english_term,chinese,precipitation,1_1,冰雹,雾,细雨,乌云,湖,火炉,鹿,白饭,记事本,天气,
jubilantMeerkat7_1635624995,chinese_term,chinese,风景,1_1,湖,森林,古城,泥土,陆地,芝士,椅子,可卡因,船,旅游地点,
jubilantMeerkat7_1635624995,english_term,chinese,appetizers,1_1,炸薯条,洋葱圈,鸡翅,汉堡包,西兰花,电脑编程,积木,陶瓷,树叶,炸的零食,
jubilantMeerkat7_1635624995,english_term,chinese,drugs,1_1,阿司匹林,可卡因,大麻,钾,钠,香蕉,木工,杯子,灯,毒品,
jubilantMeerkat7_1635624995,chinese_term,chinese,地形,1_1,河流,高原,山地,花园,日出,酸奶,兔子,强奸,自行车,地形,
jubilantMeerkat7_1635624995,chinese_term,chinese,调味品,1_1,盐,蚝油,桂皮,鸡,芝士,船,云朵,绘画,椅子,调味品,
jubilantMeerkat7_1635624995,english_term,chinese,vehicles,1_1,船,公共汽车,拖拉机,玩具娃娃,气球,苹果片,木工,电脑,啤酒,载具,
jubilantMeerkat7_1635624995,chinese_term,chinese,服饰,1_1,皮包,外套,衬衫,眼线,洗发水,盐,车,汉堡包,柚子,衣服,
jubilantMeerkat7_1635624995,english_term,chinese,appetizers,1_1,汤,沙拉,面包棒,牛扒,意大利辣香肠比萨,烹饪,玩具娃娃,缝纫,树皮,食物,
jubilantMeerkat7_1635624995,english_term,chinese,vehicles,1_1,火车,车,飞船,积木,乐高,花生,针织,电视,茶,交通工具,
jubilantMeerkat7_1635624995,chinese_term,chinese,调味品,1_1,胡椒,糖,酱油,面粉,鸡蛋,海象,记事本,木工,雪,厨房原材料,
jubilantMeerkat7_1635624995,chinese_term,chinese,家具,1_1,地毯,沙发,窗帘,墙,房子,盐,云朵,刀,外套,家具,
jubilantMeerkat7_1635624995,chinese_term,chinese,地形,1_1,湖泊,盆地,高原,瀑布,星空,芝士,碗,盗窃,帽子,地形,
jubilantMeerkat7_1635624995,chinese_term,chinese,水域,1_1,河流,水库,大海,雪,啤酒,山谷,番茄,公共汽车,椅子,水相关地形,
jubilantMeerkat7_1635624995,english_term,chinese,beverages,1_1,咖啡,啤酒,茶,酱油,汽油,卡车,行星,花卉,冰雹,饮料,
jubilantMeerkat7_1635624995,chinese_term,chinese,服饰,1_1,戒指,帽子,短裤,口红,香皂,树,烤鸭,丘陵,三明治,穿身上的,
jubilantMeerkat7_1635624995,chinese_term,chinese,家具,1_1,顶灯,床,冰箱,马桶,浴缸,鸡,树,水库,铅笔,家具,
jubilantMeerkat7_1635624995,english_term,chinese,precipitation,1_1,雨,雪,冻雨,乌云,气泡水,筷子,海象,巧克力棒,铅笔,冷天气,
jubilantMeerkat7_1635624995,chinese_term,chinese,水域,1_1,小溪,池塘,冰川,雨,苏打水,山,鸡,火车,刀,水相关地形,
jubilantMeerkat7_1635624995,chinese_term,chinese,化妆品,1_1,眼线,眼霜,润肤霜,洗面奶,泡泡浴,酸奶,草,湖,森林,化妆品,
jubilantMeerkat7_1635624995,english_term,chinese,beverages,1_1,红酒,水,果汁,油,醋,摩托车,星星,树,冻雨,饮料,
jubilantMeerkat7_1635624995,chinese_term,chinese,农产品,1_1,玉米,蔬菜,牲畜,三明治,比萨饼,鹿,电脑,雕塑,雨夹雪,养殖业相关,
NA,catch,chinese,colors,NA,紫色,黄色,红色的,绿色,橙色,黑色,蓝色,粉色,白色,只需选择“紫色”这个词,catch
NA,catch,chinese,planets,NA,木星,金星,火星,海王星,土星,水星,天王星,冥王星,地球,只需选择“木星”这个词,catch
NA,catch,chinese,sports,NA,棒球,排球,游泳,篮球,足球,高尔夫球,潜水,划船,体操,只需选择“棒球”这个词,catch
