word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7	word1	word2	word1_en	word2_en	question_id
忧愁 vs 秋天	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	忧愁	秋天	melancholy	autumn	1
阴天 vs 月亮	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	阴天	月亮	cloudy	moon	2
被子 vs 皮肤	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	被子	皮肤	quilt	skin	3
明白 vs 太阳	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	明白	太阳	understand	sun	4
法律 vs 水平面	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	法律	水平面	law	water level	5
森严 vs 树林	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	森严	树林	rigid	woods	6
冥想 vs 昏暗	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	冥想	昏暗	meditation	dim	7
掌控 vs 握手	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	掌控	握手	control	hand shake	8
磊落 vs 石头	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	磊落	石头	forthright	stone	9
吹捧 vs 奉送	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	吹捧	奉送	boost	offer	10
烦闷 vs 屋门	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	烦闷	屋门	worry	door	11
契约 vs 刀具	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	契约	刀具	covenant	knife	12
采纳 vs 抓住	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	采纳	抓住	adopt	grasp	13
灾难 vs 燃烧	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	灾难	燃烧	disaster	burn	14
红尘 vs 泥土	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	红尘	泥土	mundane world	soil	15
富裕 vs 稻谷	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	富裕	稻谷	rich	grain	16
崇拜 vs 山峰	这两个词有多相似？		critical	1	1 (非常不同）	2	3	4	5	6	7 (非常相似)	崇拜	山峰	worship	mountain	17
